	ARAF001	ARAF002	ARAF003	ARAF004	ARAF005	ARAF006	     C1	    C10	   C100	   C103	   C104	   C105	   C106	   C107	   C108	   C109	    C11	   C110	   C111	   C112	   C113	   C114	   C115	   C117	   C118	   C119	    C12	   C120	   C121	   C122	   C123	   C124	   C125	   C126	   C127	   C128	   C129	    C13	   C130	   C131	   C132	   C133	   C134	   C135	   C136	   C137	   C138	   C139	    C14	   C140	   C141	   C142	   C143	   C144	   C145	   C146	   C147	   C148	   C149	    C15	   C150	   C151	   C152	   C153	   C154	   C155	   C156	   C157	   C158	   C159	    C16	   C160	   C161	   C162	   C163	   C164	   C165	   C166	   C167	   C168	   C169	    C17	   C170	   C171	   C172	   C173	   C174	   C175	   C176	   C177	   C178	   C179	    C18	   C180	   C181	   C182	   C183	   C184	   C185	   C186	   C187	   C188	   C189	    C19	   C190	   C191	   C199	     C2	    C20	    C21	    C22	   C220	   C221	   C222	   C223	    C23	    C24	   C246	    C25	    C26	    C27	   C272	   C275	    C28	    C29	     C3	    C30	    C31	    C32	    C33	    C34	   C341	   C342	   C343	   C344	   C345	   C346	    C35	   C354	   C355	   C356	   C357	   C358	   C359	    C36	   C360	   C361	   C362	   C363	   C364	   C365	   C366	   C367	   C368	   C369	    C37	    C38	    C39	     C4	    C40	    C41	    C42	    C43	    C44	    C45	    C46	    C47	    C48	    C49	     C5	    C50	    C51	    C52	    C53	    C54	    C55	    C56	    C57	    C58	    C59	     C6	    C60	    C61	    C62	    C63	    C64	    C65	    C66	    C67	    C68	    C69	     C7	    C70	    C71	    C72	    C73	    C74	    C75	    C76	    C77	    C78	    C79	     C8	    C80	    C81	    C82	    C83	    C84	    C85	    C86	    C87	    C88	    C89	    C91	    C92	    C93	    C95	    C96
ARAF001	 100.00	  96.84	  96.36	  98.35	  95.06	  98.16	  96.97	  97.57	  96.80	  96.55	  96.83	  96.65	  96.36	  96.96	  96.62	  95.70	  97.53	  96.78	  96.32	  96.96	  95.67	  97.08	  96.64	  96.42	  96.77	  96.49	  97.70	  96.28	  97.32	  97.05	  96.32	  94.94	  95.82	  94.53	  95.62	  93.62	  95.57	  96.98	  95.44	  96.11	  96.07	  96.70	  96.01	  96.12	  94.47	  94.46	  95.39	  96.47	  96.97	  95.62	  96.31	  96.54	  97.04	  97.84	  96.27	  95.81	  95.86	  95.89	  96.31	  96.89	  96.48	  96.21	  95.66	  95.89	  95.64	  97.47	  97.18	  97.44	  97.21	  97.46	  94.77	  97.37	  96.64	  97.18	  97.11	  95.58	  96.77	  95.97	  95.28	  96.40	  96.10	  97.23	  96.25	  96.21	  96.45	  96.91	  97.01	  95.92	  96.26	  97.78	  95.63	  96.90	  96.43	  95.77	  96.40	  96.60	  95.99	  94.76	  95.83	  97.58	  96.40	  97.34	  96.51	  97.46	  95.44	  95.63	  96.81	  97.51	  97.05	  97.19	  97.16	  97.30	  97.24	  97.04	  97.64	  96.97	  95.49	  97.63	  97.48	  96.94	  97.15	  97.21	  95.77	  95.13	  96.42	  96.97	  92.65	  96.20	  96.98	  96.66	  96.50	  96.81	  97.96	  97.01	  97.20	  96.97	  96.94	  96.35	  97.59	  97.64	  97.46	  97.75	  97.20	  97.17	  96.01	  97.23	  96.60	  97.53	  96.37	  97.33	  97.37	  97.78	  97.56	  97.32	  97.56	  96.68	  97.01	  95.33	  96.22	  96.98	  97.07	  96.38	  96.58	  96.52	  96.07	  96.20	  96.29	  96.58	  97.16	  96.98	  97.37	  96.33	  97.27	  96.78	  96.10	  96.69	  96.67	  96.75	  96.71	  96.82	  97.51	  96.65	  96.87	  96.84	  96.81	  97.14	  97.25	  97.00	  96.93	  96.76	  96.87	  97.34	  96.97	  95.97	  97.04	  96.92	  97.02	  97.19	  97.00	  96.99	  97.72	  97.14	  96.90	  97.63	  96.19	  97.46	  97.15	  96.98	  97.23	  96.81	  97.08	  96.12	  97.47	  96.96	  97.18	  97.05	  96.82	  96.56
ARAF002	  96.84	 100.00	  96.67	  96.78	  94.59	  96.63	  95.97	  96.67	  95.88	  96.00	  95.89	  96.21	  95.92	  96.39	  96.11	  95.92	  96.30	  95.89	  97.11	  95.93	  95.63	  96.24	  96.05	  95.61	  95.72	  96.09	  96.33	  95.89	  96.24	  96.50	  95.48	  94.84	  94.86	  94.51	  95.43	  94.64	  95.17	  96.16	  95.22	  95.99	  96.04	  95.74	  95.98	  95.90	  95.43	  95.53	  95.33	  95.96	  96.71	  95.55	  96.31	  96.17	  96.12	  96.19	  95.54	  96.06	  96.18	  96.28	  98.12	  96.77	  98.24	  98.05	  96.07	  96.24	  96.16	  96.41	  96.17	  96.22	  96.19	  96.28	  93.85	  96.23	  96.08	  96.12	  96.02	  95.60	  95.92	  95.15	  95.48	  95.77	  95.92	  96.33	  96.02	  97.91	  95.85	  95.95	  95.96	  95.87	  95.82	  96.35	  95.97	  95.80	  95.49	  95.86	  96.09	  96.11	  95.62	  94.99	  95.75	  96.33	  95.99	  96.10	  95.69	  96.17	  95.42	  95.71	  96.12	  96.31	  96.18	  96.19	  96.22	  96.24	  95.86	  95.73	  96.24	  96.14	  94.41	  96.35	  95.93	  95.77	  95.90	  96.36	  95.86	  94.94	  96.34	  96.03	  91.98	  95.30	  95.99	  95.77	  95.82	  98.08	  96.58	  96.42	  96.64	  96.44	  96.19	  95.46	  96.66	  96.63	  96.79	  96.70	  96.14	  96.27	  94.88	  96.20	  96.28	  96.82	  96.15	  96.76	  96.98	  97.10	  96.36	  96.54	  97.03	  95.98	  96.06	  94.67	  96.30	  96.13	  96.13	  96.03	  96.13	  96.14	  95.96	  95.89	  95.93	  96.18	  96.05	  96.10	  96.09	  95.94	  96.12	  96.01	  95.68	  95.92	  96.11	  96.02	  96.08	  96.12	  96.21	  96.07	  96.28	  96.27	  96.27	  95.98	  96.01	  95.78	  95.77	  95.85	  95.99	  96.18	  95.99	  94.74	  95.76	  96.00	  96.15	  96.12	  95.93	  95.93	  96.41	  96.34	  96.11	  96.23	  96.21	  96.13	  96.23	  96.04	  96.21	  96.78	  96.19	  95.96	  96.20	  96.21	  96.23	  96.16	  95.92	  96.18
ARAF003	  96.36	  96.67	 100.00	  96.39	  95.16	  96.18	  95.95	  95.84	  95.80	  95.68	  95.69	  95.42	  96.20	  95.67	  96.06	  95.74	  95.76	  95.77	  95.76	  96.00	  95.72	  96.01	  95.58	  95.87	  95.87	  95.84	  95.99	  96.26	  95.79	  95.82	  95.40	  94.87	  94.71	  94.44	  95.78	  95.25	  95.21	  96.19	  95.41	  96.19	  96.07	  95.68	  95.96	  96.06	  95.98	  95.88	  95.73	  96.01	  96.21	  95.75	  96.19	  95.08	  96.10	  95.93	  95.91	  98.00	  98.25	  98.06	  96.13	  96.21	  96.32	  96.11	  98.01	  98.13	  98.03	  95.67	  95.46	  95.62	  95.48	  95.90	  93.83	  95.84	  95.68	  95.76	  95.73	  95.93	  95.90	  95.47	  95.59	  96.07	  96.33	  96.31	  96.41	  96.01	  96.23	  96.52	  96.58	  96.37	  96.07	  95.96	  95.44	  96.23	  95.48	  95.88	  95.99	  96.47	  95.91	  95.38	  95.86	  95.79	  96.06	  95.84	  95.92	  95.65	  95.71	  96.07	  95.44	  95.87	  96.12	  96.15	  96.15	  95.70	  95.58	  95.90	  95.86	  96.03	  94.44	  96.00	  95.56	  95.32	  95.60	  96.67	  96.27	  93.95	  95.67	  96.01	  91.37	  95.21	  95.94	  95.69	  95.87	  96.34	  96.17	  96.45	  96.51	  96.53	  96.68	  95.14	  96.43	  96.47	  96.09	  96.57	  96.13	  95.73	  94.76	  96.10	  96.68	  96.25	  97.01	  95.98	  96.21	  96.21	  96.34	  96.35	  96.26	  96.06	  95.91	  94.91	  95.69	  95.91	  96.10	  96.28	  96.30	  96.28	  96.07	  96.12	  96.21	  96.39	  96.27	  95.96	  96.49	  96.20	  96.53	  96.17	  95.50	  96.10	  96.25	  96.25	  95.78	  95.82	  95.74	  95.73	  95.82	  95.92	  95.82	  95.95	  95.94	  95.74	  96.05	  95.78	  95.90	  95.58	  95.88	  94.92	  95.98	  96.29	  96.36	  95.92	  96.23	  96.31	  96.09	  95.90	  95.93	  95.81	  96.23	  95.71	  96.12	  96.02	  96.01	  95.67	  96.49	  95.57	  95.93	  96.37	  96.06	  96.08	  96.39	  96.40
ARAF004	  98.35	  96.78	  96.39	 100.00	  95.34	  98.82	  97.05	  98.16	  97.04	  96.71	  97.15	  97.42	  96.82	  97.08	  96.68	  95.96	  97.92	  97.03	  96.52	  97.06	  95.97	  97.35	  96.83	  96.80	  97.15	  96.59	  98.02	  96.62	  97.80	  97.23	  96.58	  95.25	  96.01	  94.81	  95.76	  93.71	  95.85	  97.48	  95.98	  96.61	  96.55	  96.89	  96.07	  96.55	  94.49	  94.47	  95.66	  96.76	  97.50	  95.92	  96.39	  96.94	  97.25	  97.49	  96.51	  95.77	  95.90	  95.89	  96.22	  97.28	  96.39	  96.10	  95.74	  95.93	  95.76	  97.84	  97.76	  97.79	  97.76	  97.31	  94.90	  97.18	  96.83	  97.66	  97.67	  95.83	  97.01	  96.21	  95.52	  96.84	  96.52	  97.37	  96.63	  96.20	  96.88	  97.31	  97.36	  96.17	  96.58	  98.69	  95.88	  97.17	  96.56	  95.89	  96.69	  96.96	  96.21	  94.79	  96.05	  98.29	  96.76	  97.83	  96.92	  97.88	  95.64	  95.98	  97.30	  97.82	  97.28	  97.32	  97.31	  98.06	  97.99	  97.46	  98.43	  97.21	  95.58	  98.31	  98.00	  97.56	  97.73	  97.43	  96.01	  95.62	  96.79	  97.12	  93.33	  96.39	  97.05	  96.83	  97.08	  96.85	  98.41	  97.30	  97.55	  97.30	  97.32	  97.04	  97.90	  97.85	  97.88	  97.98	  97.53	  97.63	  96.70	  97.56	  96.90	  97.93	  96.71	  97.73	  97.69	  98.05	  98.05	  97.41	  97.89	  97.03	  97.80	  95.53	  96.50	  97.27	  97.34	  96.74	  96.90	  96.78	  96.25	  96.48	  96.60	  96.89	  97.46	  97.20	  97.65	  96.48	  97.43	  97.15	  96.51	  97.17	  97.00	  97.05	  97.07	  97.17	  98.07	  96.99	  97.26	  97.20	  97.13	  97.61	  97.70	  97.48	  97.35	  96.82	  97.02	  97.99	  97.08	  96.24	  97.34	  97.32	  97.41	  97.55	  97.35	  97.40	  97.99	  97.61	  97.10	  98.13	  96.28	  98.22	  97.28	  97.12	  97.67	  97.16	  97.44	  96.46	  97.98	  97.39	  97.66	  97.30	  97.17	  96.91
ARAF005	  95.06	  94.59	  95.16	  95.34	 100.00	  95.22	  94.99	  94.81	  94.93	  94.43	  94.38	  94.17	  94.51	  94.39	  94.87	  94.59	  94.68	  94.92	  94.65	  94.98	  94.52	  94.70	  94.49	  94.68	  94.92	  94.71	  95.05	  95.23	  94.84	  94.52	  94.42	  93.59	  93.89	  93.09	  94.44	  92.59	  93.97	  94.42	  94.29	  94.97	  94.77	  94.77	  94.72	  94.91	  93.37	  93.28	  94.31	  94.85	  95.06	  94.30	  94.97	  94.15	  95.13	  94.62	  94.98	  94.52	  94.65	  94.51	  94.03	  94.90	  94.26	  94.08	  94.53	  94.63	  94.45	  94.64	  94.45	  94.56	  94.42	  94.46	  92.90	  94.34	  94.47	  94.80	  94.63	  94.55	  94.78	  94.47	  94.28	  94.74	  94.83	  95.33	  95.01	  93.89	  94.77	  95.30	  95.30	  94.98	  94.66	  94.83	  94.32	  95.17	  94.62	  94.53	  94.57	  95.65	  94.89	  93.10	  94.76	  94.72	  94.87	  94.87	  94.84	  94.46	  94.39	  94.76	  94.21	  94.80	  95.26	  95.28	  95.15	  94.55	  94.51	  94.92	  94.82	  95.18	  93.56	  94.89	  94.53	  94.22	  94.51	  95.46	  94.72	  92.63	  94.58	  95.07	  90.49	  94.43	  94.88	  94.79	  94.60	  94.59	  95.13	  95.55	  95.40	  95.43	  95.15	  94.03	  95.12	  95.12	  94.99	  95.14	  94.59	  94.68	  93.61	  94.52	  95.62	  94.96	  95.31	  94.87	  95.13	  95.14	  95.31	  95.45	  95.07	  94.84	  94.75	  93.87	  94.32	  94.79	  95.02	  94.99	  95.13	  95.07	  94.62	  94.72	  94.81	  95.12	  95.25	  95.15	  95.40	  95.12	  95.54	  94.97	  94.18	  94.79	  94.90	  94.86	  94.64	  94.75	  94.68	  94.58	  94.82	  94.83	  94.67	  94.81	  94.85	  94.62	  95.01	  94.89	  95.10	  94.60	  94.98	  93.87	  95.05	  95.27	  95.27	  94.76	  95.16	  95.22	  94.94	  94.67	  95.00	  94.82	  95.09	  94.70	  95.24	  95.12	  94.64	  94.52	  95.41	  94.22	  94.86	  95.36	  94.73	  94.62	  95.32	  95.13
ARAF006	  98.16	  96.63	  96.18	  98.82	  95.22	 100.00	  96.95	  97.88	  96.90	  96.58	  97.03	  97.23	  96.66	  96.92	  96.62	  95.79	  97.70	  96.85	  96.34	  97.00	  95.86	  97.27	  96.60	  96.65	  97.07	  96.52	  97.83	  96.50	  97.63	  97.02	  96.31	  95.10	  95.82	  94.70	  95.62	  93.52	  95.71	  97.33	  95.74	  96.33	  96.19	  96.74	  95.99	  96.32	  94.35	  94.29	  95.56	  96.62	  97.05	  95.85	  96.33	  96.75	  97.11	  97.37	  96.27	  95.56	  95.71	  95.70	  96.12	  96.99	  96.24	  95.99	  95.64	  95.74	  95.56	  97.69	  97.60	  97.58	  97.53	  97.14	  94.80	  97.08	  96.68	  97.59	  97.41	  95.65	  96.96	  96.16	  95.51	  96.69	  96.40	  97.25	  96.50	  95.97	  96.71	  97.24	  97.32	  96.04	  96.48	  98.18	  95.77	  97.05	  96.40	  95.74	  96.54	  96.77	  96.01	  94.65	  95.92	  98.15	  96.66	  97.68	  96.72	  97.56	  95.48	  95.89	  97.06	  97.61	  97.14	  97.15	  97.19	  97.91	  97.78	  97.24	  98.28	  97.11	  95.50	  98.14	  97.87	  97.37	  97.52	  97.21	  95.86	  95.47	  96.53	  97.03	  93.06	  96.18	  96.88	  96.82	  96.92	  96.68	  98.26	  97.23	  97.39	  97.22	  97.21	  96.81	  97.81	  97.83	  97.84	  97.90	  97.30	  97.54	  96.36	  97.30	  96.81	  97.86	  96.61	  97.61	  97.61	  98.01	  97.84	  97.48	  97.82	  96.95	  97.49	  95.42	  96.36	  97.09	  97.24	  96.55	  96.64	  96.64	  96.11	  96.25	  96.37	  96.69	  97.24	  97.03	  97.40	  96.34	  97.32	  97.01	  96.23	  96.99	  96.90	  97.02	  96.92	  97.01	  97.84	  96.69	  97.06	  96.99	  96.95	  97.32	  97.45	  97.20	  97.09	  96.86	  97.00	  97.91	  96.89	  96.18	  97.24	  97.15	  97.20	  97.40	  97.17	  97.13	  97.87	  97.39	  96.90	  97.95	  96.27	  98.14	  97.27	  97.07	  97.52	  97.07	  97.29	  96.32	  97.78	  97.16	  97.39	  97.21	  96.90	  96.75
C1     	  96.97	  95.97	  95.95	  97.05	  94.99	  96.95	 100.00	  97.04	  98.40	  97.64	  97.05	  96.56	  96.19	  96.80	  98.08	  97.22	  96.93	  98.32	  96.71	  98.37	  96.50	  97.02	  97.05	  96.65	  96.90	  98.05	  97.62	  97.23	  96.96	  96.86	  97.82	  95.39	  97.46	  94.93	  96.34	  94.25	  95.92	  96.63	  96.10	  96.50	  96.62	  98.18	  97.41	  96.59	  95.00	  94.87	  95.81	  96.66	  96.84	  96.03	  97.66	  96.37	  98.49	  96.71	  96.52	  95.90	  95.93	  96.00	  96.03	  96.80	  96.11	  96.01	  95.84	  96.02	  95.78	  96.97	  96.96	  97.01	  96.76	  96.50	  96.11	  96.60	  97.02	  96.86	  96.87	  96.32	  96.94	  96.44	  95.77	  96.74	  96.51	  98.78	  96.45	  95.88	  96.83	  97.20	  97.22	  96.99	  96.59	  97.15	  96.47	  97.35	  97.98	  96.34	  96.65	  97.82	  97.12	  94.91	  96.86	  97.01	  96.72	  96.91	  96.84	  97.06	  95.91	  96.44	  96.50	  97.02	  98.60	  98.66	  98.73	  96.91	  96.86	  97.01	  97.18	  98.74	  96.75	  97.09	  96.82	  96.50	  96.90	  97.17	  96.45	  94.91	  96.27	  98.50	  92.77	  97.57	  98.55	  98.31	  96.80	  96.43	  96.90	  96.73	  96.95	  96.75	  96.80	  95.93	  97.21	  97.14	  96.76	  97.22	  96.31	  96.54	  95.60	  96.45	  97.16	  96.79	  96.54	  96.77	  96.56	  97.01	  96.87	  98.33	  96.91	  96.91	  96.73	  95.51	  95.88	  97.10	  97.19	  96.63	  96.77	  96.68	  96.18	  96.23	  96.40	  96.74	  97.27	  98.58	  97.40	  96.87	  97.49	  97.08	  96.54	  97.00	  96.87	  96.90	  96.96	  97.07	  96.96	  97.03	  97.00	  97.08	  96.96	  96.69	  96.78	  96.71	  97.11	  98.50	  98.55	  97.05	  98.50	  95.92	  97.22	  97.18	  97.13	  96.75	  97.31	  97.36	  97.62	  96.97	  98.44	  97.18	  96.65	  97.04	  98.68	  98.65	  96.92	  96.57	  97.37	  96.17	  97.17	  97.42	  96.94	  96.77	  96.98	  96.78
C10    	  97.57	  96.67	  95.84	  98.16	  94.81	  97.88	  97.04	 100.00	  96.96	  96.58	  97.15	  97.25	  96.76	  97.10	  96.80	  95.96	  97.93	  96.91	  96.56	  96.95	  95.95	  97.37	  96.65	  96.97	  97.13	  96.58	  98.01	  96.32	  97.77	  97.11	  96.38	  95.37	  95.99	  94.85	  95.78	  93.90	  96.07	  97.48	  95.72	  96.43	  96.31	  96.73	  95.99	  96.23	  94.62	  94.60	  95.81	  96.90	  97.43	  96.10	  96.34	  96.91	  97.14	  97.31	  96.45	  95.63	  95.65	  95.74	  96.39	  97.61	  96.40	  96.36	  95.73	  95.78	  95.76	  98.19	  97.96	  97.99	  97.99	  96.89	  94.83	  97.02	  96.61	  97.64	  97.57	  95.97	  97.21	  96.09	  95.78	  96.62	  96.39	  97.31	  96.49	  96.29	  96.69	  96.99	  97.05	  95.99	  96.59	  98.15	  95.79	  97.10	  96.39	  95.82	  96.91	  96.72	  96.11	  95.02	  96.06	  98.11	  97.12	  97.64	  96.83	  97.84	  95.87	  95.89	  97.31	  97.97	  97.32	  97.21	  97.15	  98.16	  97.78	  97.15	  98.00	  97.18	  95.43	  98.09	  97.69	  97.28	  97.83	  97.37	  95.97	  95.64	  97.08	  97.02	  93.11	  96.26	  96.99	  96.82	  97.01	  96.76	  98.11	  97.11	  97.56	  97.16	  96.78	  96.64	  97.63	  97.50	  97.71	  97.53	  96.91	  97.25	  96.11	  96.97	  96.49	  97.60	  96.31	  97.60	  97.64	  97.99	  97.58	  97.26	  97.85	  97.04	  97.50	  95.40	  96.47	  97.45	  97.61	  96.64	  96.67	  96.76	  96.15	  96.20	  96.27	  96.72	  97.62	  97.11	  97.42	  96.36	  97.25	  97.16	  96.69	  96.99	  97.18	  96.96	  97.23	  97.38	  98.20	  97.28	  97.45	  97.33	  97.40	  97.41	  97.41	  97.39	  97.27	  96.82	  97.08	  98.23	  97.02	  96.01	  97.34	  97.16	  97.22	  97.41	  97.43	  97.40	  98.04	  97.43	  97.17	  98.10	  96.52	  97.93	  97.22	  97.20	  97.55	  97.48	  97.24	  96.45	  97.76	  97.13	  97.66	  97.14	  96.87	  96.65
C100   	  96.80	  95.88	  95.80	  97.04	  94.93	  96.90	  98.40	  96.96	 100.00	  97.53	  96.84	  96.40	  96.24	  96.69	  97.90	  96.99	  96.94	  98.13	  96.58	  98.34	  96.31	  97.04	  96.95	  96.36	  96.83	  97.90	  97.42	  97.07	  96.62	  96.74	  97.76	  95.18	  97.22	  94.82	  96.09	  94.12	  95.61	  96.43	  95.89	  96.52	  96.43	  98.23	  97.06	  96.46	  94.81	  94.81	  95.63	  96.54	  96.64	  95.90	  97.35	  96.20	  98.42	  96.61	  96.35	  95.69	  95.88	  95.88	  95.93	  96.61	  96.05	  95.76	  95.71	  95.93	  95.52	  96.74	  96.61	  96.73	  96.59	  96.37	  95.82	  96.47	  96.97	  96.66	  96.64	  96.17	  96.84	  96.09	  95.58	  96.64	  96.43	  98.51	  96.37	  95.78	  96.64	  97.10	  97.12	  96.87	  96.53	  97.09	  96.20	  97.11	  97.71	  96.11	  96.56	  97.65	  97.03	  94.83	  96.62	  96.88	  96.63	  96.78	  96.66	  96.78	  95.72	  96.20	  96.48	  96.91	  98.46	  98.50	  98.57	  96.75	  96.75	  96.79	  97.09	  98.43	  96.58	  96.95	  96.65	  96.30	  96.77	  97.05	  96.10	  94.78	  95.97	  98.34	  92.62	  97.49	  98.24	  98.12	  96.74	  96.27	  96.84	  96.64	  96.91	  96.57	  96.65	  95.88	  97.11	  97.11	  96.57	  97.12	  96.23	  96.40	  95.37	  96.41	  97.01	  96.75	  96.45	  96.68	  96.53	  96.95	  96.77	  98.30	  96.79	  96.75	  96.62	  95.47	  95.75	  96.92	  96.97	  96.43	  96.58	  96.42	  95.92	  96.11	  96.16	  96.59	  97.15	  98.47	  97.18	  96.76	  97.33	  96.84	  96.30	  96.77	  96.67	  96.71	  96.68	  96.78	  96.81	  96.69	  96.95	  96.83	  96.68	  96.61	  96.64	  96.51	  96.92	  98.14	  98.34	  96.93	  98.28	  95.83	  96.96	  97.08	  96.89	  96.59	  97.13	  97.22	  97.48	  96.88	  98.29	  97.08	  96.42	  96.74	  98.41	  98.41	  96.76	  96.37	  97.20	  95.98	  97.05	  97.18	  96.77	  96.60	  96.70	  96.59
C103   	  96.55	  96.00	  95.68	  96.71	  94.43	  96.58	  97.64	  96.58	  97.53	 100.00	  96.80	  96.52	  96.27	  97.06	  97.94	  97.09	  96.60	  97.47	  96.38	  97.50	  96.45	  96.99	  97.36	  95.82	  96.15	  97.84	  97.09	  96.49	  96.24	  97.18	  97.01	  95.19	  96.35	  94.58	  95.96	  94.08	  95.34	  96.62	  96.01	  96.56	  96.46	  97.37	  97.22	  96.53	  94.87	  94.65	  95.68	  96.00	  96.68	  95.76	  97.50	  96.49	  97.64	  96.41	  95.72	  95.50	  95.64	  95.70	  96.04	  96.57	  96.26	  96.05	  95.50	  95.74	  95.50	  96.52	  96.45	  96.45	  96.39	  96.36	  95.28	  96.53	  97.42	  96.25	  96.17	  95.86	  96.23	  95.72	  95.69	  96.70	  96.20	  97.81	  96.20	  96.06	  96.67	  96.43	  96.38	  96.80	  96.43	  96.70	  96.12	  96.40	  96.95	  96.11	  96.19	  97.00	  96.57	  94.79	  96.39	  96.63	  96.14	  96.36	  96.45	  96.65	  95.70	  96.32	  96.56	  96.65	  97.56	  97.70	  97.75	  96.59	  96.43	  96.24	  96.68	  97.67	  95.91	  96.65	  96.35	  96.08	  96.42	  96.52	  96.30	  95.02	  96.05	  97.60	  92.43	  96.79	  97.51	  97.38	  96.57	  96.39	  96.54	  96.25	  96.37	  96.09	  96.48	  95.86	  97.16	  97.11	  96.80	  97.09	  96.30	  96.51	  95.45	  96.46	  96.37	  96.92	  96.25	  96.78	  96.67	  97.06	  96.28	  97.49	  96.99	  96.59	  96.72	  95.21	  96.02	  96.28	  96.46	  96.16	  96.25	  96.17	  95.90	  96.10	  96.11	  96.37	  96.62	  97.57	  96.61	  96.23	  96.75	  96.70	  96.18	  96.69	  96.59	  96.70	  96.90	  96.85	  96.59	  96.78	  96.86	  96.83	  96.74	  96.17	  96.32	  96.16	  96.37	  97.38	  97.67	  96.61	  97.49	  95.30	  96.48	  96.39	  96.45	  96.33	  96.58	  96.61	  97.13	  97.06	  97.49	  96.68	  96.50	  96.59	  97.63	  97.71	  96.80	  96.78	  96.69	  96.46	  96.78	  96.70	  96.69	  96.69	  96.15	  96.24
