	ARAF001	ARAF002	ARAF003	ARAF004	ARAF005	ARAF006	     C1	    C10	   C100	   C103	   C104	   C105	   C106	   C107	   C108	   C109	    C11	   C110	   C111	   C112	   C113	   C114	   C115	   C117	   C118	   C119	    C12	   C120	   C121	   C122	   C123	   C124	   C125	   C126	   C127	   C128	   C129	    C13	   C130	   C131	   C132	   C133	   C134	   C135	   C136	   C137	   C138	   C139	    C14	   C140	   C141	   C142	   C143	   C144	   C145	   C146	   C147	   C148	   C149	    C15	   C150	   C151	   C152	   C153	   C154	   C155	   C156	   C157	   C158	   C159	    C16	   C160	   C161	   C162	   C163	   C164	   C165	   C166	   C167	   C168	   C169	    C17	   C170	   C171	   C172	   C173	   C174	   C175	   C176	   C177	   C178	   C179	    C18	   C180	   C181	   C182	   C183	   C184	   C185	   C186	   C187	   C188	   C189	    C19	   C190	   C191	   C199	     C2	    C20	    C21	    C22	   C220	   C221	   C222	   C223	    C23	    C24	   C246	    C25	    C26	    C27	   C272	   C275	    C28	    C29	     C3	    C30	    C31	    C32	    C33	    C34	   C341	   C342	   C343	   C344	   C345	   C346	    C35	   C354	   C355	   C356	   C357	   C358	   C359	    C36	   C360	   C361	   C362	   C363	   C364	   C365	   C366	   C367	   C368	   C369	    C37	    C38	    C39	     C4	    C40	    C41	    C42	    C43	    C44	    C45	    C46	    C47	    C48	    C49	     C5	    C50	    C51	    C52	    C53	    C54	    C55	    C56	    C57	    C58	    C59	     C6	    C60	    C61	    C62	    C63	    C64	    C65	    C66	    C67	    C68	    C69	     C7	    C70	    C71	    C72	    C73	    C74	    C75	    C76	    C77	    C78	    C79	     C8	    C80	    C81	    C82	    C83	    C84	    C85	    C86	    C87	    C88	    C89	    C91	    C92	    C93	    C95	    C96
ARAF001	 100.00	  93.87	  92.97	  96.75	  90.59	  96.39	  94.12	  95.25	  93.80	  93.33	  93.86	  93.51	  92.98	  94.11	  93.47	  91.76	  95.17	  93.76	  92.91	  94.11	  91.70	  94.33	  93.49	  93.09	  93.74	  93.21	  95.51	  92.83	  94.77	  94.27	  92.90	  90.37	  91.98	  89.62	  91.60	  88.01	  91.52	  94.14	  91.29	  92.52	  92.44	  93.61	  92.32	  92.54	  89.52	  89.50	  91.19	  93.18	  94.12	  91.61	  92.87	  93.32	  94.25	  95.78	  92.80	  91.95	  92.05	  92.10	  92.88	  93.96	  93.19	  92.69	  91.67	  92.10	  91.65	  95.06	  94.52	  95.01	  94.57	  95.05	  90.05	  94.87	  93.51	  94.52	  94.38	  91.54	  93.75	  92.24	  90.99	  93.05	  92.49	  94.61	  92.77	  92.70	  93.15	  94.01	  94.19	  92.16	  92.79	  95.65	  91.63	  93.99	  93.11	  91.89	  93.05	  93.41	  92.30	  90.05	  91.99	  95.28	  93.05	  94.81	  93.26	  95.05	  91.29	  91.63	  93.83	  95.14	  94.28	  94.53	  94.48	  94.74	  94.64	  94.25	  95.39	  94.12	  91.37	  95.38	  95.08	  94.06	  94.46	  94.56	  91.88	  90.72	  93.10	  94.13	  86.31	  92.67	  94.14	  93.54	  93.23	  93.82	  96.00	  94.19	  94.55	  94.11	  94.06	  92.96	  95.29	  95.38	  95.04	  95.60	  94.56	  94.50	  92.33	  94.60	  93.42	  95.19	  93.00	  94.79	  94.87	  95.65	  95.24	  94.78	  95.24	  93.58	  94.19	  91.08	  92.71	  94.14	  94.30	  93.01	  93.38	  93.27	  92.44	  92.68	  92.84	  93.38	  94.47	  94.13	  94.88	  92.93	  94.68	  93.76	  92.49	  93.59	  93.55	  93.70	  93.62	  93.83	  95.14	  93.52	  93.93	  93.87	  93.82	  94.45	  94.64	  94.17	  94.03	  93.73	  93.94	  94.83	  94.11	  92.26	  94.24	  94.02	  94.21	  94.53	  94.18	  94.16	  95.55	  94.44	  93.99	  95.37	  92.65	  95.06	  94.45	  94.14	  94.61	  93.82	  94.32	  92.53	  95.06	  94.10	  94.51	  94.27	  93.84	  93.35
ARAF002	  93.87	 100.00	  93.55	  93.76	  89.73	  93.47	  92.26	  93.56	  92.09	  92.32	  92.11	  92.70	  92.16	  93.03	  92.50	  92.16	  92.86	  92.11	  94.39	  92.18	  91.62	  92.75	  92.40	  91.59	  91.79	  92.48	  92.93	  92.10	  92.75	  93.23	  91.35	  90.19	  90.22	  89.59	  91.26	  89.83	  90.79	  92.61	  90.87	  92.29	  92.38	  91.83	  92.26	  92.12	  91.26	  91.44	  91.08	  92.24	  93.64	  91.47	  92.89	  92.62	  92.54	  92.66	  91.46	  92.42	  92.63	  92.82	  96.31	  93.75	  96.55	  96.17	  92.43	  92.76	  92.61	  93.07	  92.62	  92.72	  92.66	  92.83	  88.41	  92.73	  92.45	  92.52	  92.35	  91.57	  92.16	  90.75	  91.36	  91.88	  92.15	  92.93	  92.34	  95.91	  92.04	  92.22	  92.23	  92.07	  91.97	  92.96	  92.25	  91.94	  91.38	  92.05	  92.47	  92.51	  91.60	  90.46	  91.85	  92.92	  92.28	  92.50	  91.73	  92.63	  91.24	  91.77	  92.53	  92.89	  92.64	  92.66	  92.72	  92.76	  92.05	  91.81	  92.75	  92.56	  89.40	  92.95	  92.18	  91.88	  92.13	  92.97	  92.05	  90.37	  92.94	  92.37	  85.15	  91.02	  92.28	  91.89	  91.98	  96.24	  93.39	  93.09	  93.50	  93.12	  92.66	  91.32	  93.53	  93.48	  93.77	  93.61	  92.56	  92.80	  90.27	  92.68	  92.83	  93.83	  92.59	  93.72	  94.14	  94.36	  92.98	  93.32	  94.23	  92.27	  92.42	  89.87	  92.87	  92.54	  92.54	  92.36	  92.55	  92.58	  92.23	  92.11	  92.17	  92.64	  92.39	  92.50	  92.47	  92.20	  92.53	  92.33	  91.71	  92.16	  92.52	  92.35	  92.46	  92.53	  92.69	  92.43	  92.82	  92.80	  92.81	  92.28	  92.33	  91.90	  91.88	  92.04	  92.29	  92.63	  92.29	  90.00	  91.86	  92.32	  92.59	  92.52	  92.18	  92.18	  93.08	  92.93	  92.52	  92.74	  92.69	  92.55	  92.74	  92.38	  92.70	  93.77	  92.66	  92.23	  92.67	  92.69	  92.74	  92.60	  92.16	  92.63
ARAF003	  92.97	  93.55	 100.00	  93.03	  90.78	  92.63	  92.21	  92.02	  91.95	  91.72	  91.74	  91.23	  92.68	  91.70	  92.41	  91.83	  91.86	  91.89	  91.87	  92.32	  91.79	  92.32	  91.54	  92.07	  92.06	  92.01	  92.29	  92.79	  91.92	  91.97	  91.21	  90.24	  89.95	  89.47	  91.90	  90.92	  90.85	  92.65	  91.23	  92.66	  92.45	  91.73	  92.23	  92.41	  92.26	  92.09	  91.81	  92.32	  92.69	  91.85	  92.67	  90.63	  92.48	  92.18	  92.14	  96.07	  96.56	  96.19	  92.55	  92.70	  92.90	  92.51	  96.10	  96.33	  96.13	  91.69	  91.32	  91.62	  91.35	  92.11	  88.38	  92.00	  91.72	  91.86	  91.81	  92.17	  92.13	  91.33	  91.55	  92.43	  92.92	  92.88	  93.07	  92.32	  92.73	  93.28	  93.38	  93.00	  92.43	  92.23	  91.27	  92.73	  91.35	  92.09	  92.29	  93.18	  92.13	  91.18	  92.04	  91.91	  92.42	  92.01	  92.17	  91.65	  91.77	  92.43	  91.28	  92.07	  92.53	  92.59	  92.58	  91.76	  91.53	  92.12	  92.05	  92.36	  89.47	  92.30	  91.50	  91.06	  91.57	  93.55	  92.81	  88.59	  91.70	  92.33	  84.12	  90.86	  92.20	  91.74	  92.07	  92.93	  92.63	  93.15	  93.25	  93.30	  93.56	  90.73	  93.11	  93.18	  92.48	  93.36	  92.54	  91.81	  90.03	  92.49	  93.57	  92.76	  94.20	  92.28	  92.69	  92.69	  92.95	  92.96	  92.80	  92.43	  92.14	  90.31	  91.74	  92.15	  92.49	  92.82	  92.86	  92.83	  92.44	  92.53	  92.69	  93.03	  92.80	  92.24	  93.22	  92.68	  93.30	  92.62	  91.38	  92.49	  92.77	  92.77	  91.90	  91.97	  91.83	  91.82	  91.98	  92.16	  91.98	  92.21	  92.20	  91.83	  92.40	  91.89	  92.13	  91.54	  92.09	  90.34	  92.27	  92.84	  92.98	  92.15	  92.74	  92.87	  92.47	  92.13	  92.18	  91.96	  92.73	  91.78	  92.53	  92.34	  92.33	  91.70	  93.22	  91.52	  92.19	  93.00	  92.42	  92.46	  93.04	  93.06
ARAF004	  96.75	  93.76	  93.03	 100.00	  91.09	  97.66	  94.28	  96.38	  94.25	  93.62	  94.45	  94.96	  93.84	  94.33	  93.57	  92.23	  95.93	  94.23	  93.28	  94.29	  92.25	  94.84	  93.86	  93.79	  94.47	  93.40	  96.12	  93.47	  95.69	  94.61	  93.38	  90.92	  92.32	  90.13	  91.86	  88.16	  92.03	  95.09	  92.27	  93.45	  93.33	  93.97	  92.43	  93.33	  89.55	  89.52	  91.68	  93.73	  95.13	  92.16	  93.03	  94.06	  94.64	  95.11	  93.26	  91.89	  92.12	  92.10	  92.71	  94.71	  93.04	  92.50	  91.82	  92.18	  91.87	  95.78	  95.62	  95.67	  95.63	  94.76	  90.29	  94.51	  93.86	  95.43	  95.45	  91.99	  94.20	  92.70	  91.42	  93.88	  93.27	  94.87	  93.48	  92.68	  93.95	  94.76	  94.85	  92.62	  93.39	  97.42	  92.10	  94.49	  93.34	  92.10	  93.59	  94.10	  92.70	  90.10	  92.39	  96.63	  93.73	  95.76	  94.02	  95.85	  91.64	  92.28	  94.75	  95.73	  94.71	  94.79	  94.76	  96.19	  96.06	  95.05	  96.90	  94.57	  91.54	  96.67	  96.09	  95.23	  95.55	  94.99	  92.33	  91.61	  93.78	  94.40	  87.49	  93.04	  94.26	  93.85	  94.33	  93.90	  96.88	  94.75	  95.21	  94.74	  94.78	  94.25	  95.88	  95.79	  95.85	  96.05	  95.17	  95.37	  93.61	  95.24	  93.99	  95.95	  93.64	  95.55	  95.48	  96.18	  96.17	  94.95	  95.86	  94.23	  95.69	  91.44	  93.24	  94.68	  94.82	  93.69	  93.99	  93.76	  92.76	  93.20	  93.42	  93.97	  95.05	  94.55	  95.41	  93.20	  94.98	  94.46	  93.26	  94.49	  94.18	  94.27	  94.31	  94.50	  96.21	  94.16	  94.66	  94.56	  94.41	  95.32	  95.50	  95.08	  94.83	  93.83	  94.21	  96.07	  94.33	  92.76	  94.82	  94.78	  94.95	  95.22	  94.84	  94.94	  96.06	  95.33	  94.37	  96.33	  92.83	  96.50	  94.69	  94.40	  95.44	  94.47	  95.02	  93.16	  96.04	  94.91	  95.43	  94.75	  94.49	  94.00
ARAF005	  90.59	  89.73	  90.78	  91.09	 100.00	  90.88	  90.45	  90.13	  90.36	  89.44	  89.35	  88.98	  89.59	  89.37	  90.25	  89.74	  89.91	  90.34	  89.84	  90.44	  89.60	  89.93	  89.56	  89.90	  90.33	  89.96	  90.58	  90.90	  90.19	  89.61	  89.42	  87.94	  88.48	  87.07	  89.47	  86.20	  88.62	  89.44	  89.19	  90.43	  90.06	  90.06	  89.97	  90.31	  87.56	  87.41	  89.24	  90.20	  90.59	  89.22	  90.42	  88.95	  90.71	  89.79	  90.44	  89.62	  89.85	  89.58	  88.73	  90.29	  89.14	  88.82	  89.63	  89.81	  89.49	  89.83	  89.48	  89.68	  89.43	  89.51	  86.74	  89.28	  89.52	  90.11	  89.81	  89.67	  90.08	  89.52	  89.19	  90.01	  90.17	  91.08	  90.50	  88.48	  90.05	  91.01	  91.02	  90.44	  89.86	  90.17	  89.24	  90.79	  89.79	  89.63	  89.69	  91.66	  90.27	  87.09	  90.04	  89.97	  90.24	  90.24	  90.18	  89.51	  89.37	  90.05	  89.06	  90.12	  90.95	  90.98	  90.74	  89.67	  89.60	  90.33	  90.15	  90.81	  87.91	  90.28	  89.63	  89.07	  89.59	  91.31	  89.97	  86.26	  89.71	  90.59	  82.64	  89.44	  90.26	  90.09	  89.75	  89.73	  90.71	  91.47	  91.21	  91.26	  90.75	  88.74	  90.70	  90.69	  90.45	  90.74	  89.73	  89.90	  87.98	  89.62	  91.60	  90.41	  91.03	  90.24	  90.71	  90.72	  91.04	  91.30	  90.60	  90.19	  90.03	  88.45	  89.24	  90.09	  90.51	  90.45	  90.71	  90.60	  89.79	  89.97	  90.14	  90.70	  90.94	  90.75	  91.20	  90.70	  91.47	  90.42	  89.00	  90.10	  90.30	  90.23	  89.82	  90.02	  89.89	  89.71	  90.16	  90.17	  89.88	  90.14	  90.21	  89.80	  90.50	  90.28	  90.66	  89.75	  90.45	  88.44	  90.57	  90.96	  90.97	  90.05	  90.77	  90.88	  90.36	  89.87	  90.48	  90.16	  90.64	  89.93	  90.91	  90.70	  89.83	  89.60	  91.22	  89.06	  90.23	  91.13	  90.00	  89.79	  91.05	  90.71
ARAF006	  96.39	  93.47	  92.63	  97.66	  90.88	 100.00	  94.08	  95.86	  93.98	  93.40	  94.24	  94.61	  93.53	  94.02	  93.45	  91.91	  95.50	  93.88	  92.93	  94.17	  92.05	  94.69	  93.42	  93.52	  94.31	  93.27	  95.76	  93.24	  95.38	  94.20	  92.88	  90.65	  91.98	  89.94	  91.60	  87.83	  91.77	  94.80	  91.84	  92.93	  92.66	  93.68	  92.29	  92.91	  89.30	  89.20	  91.49	  93.46	  94.27	  92.03	  92.92	  93.71	  94.39	  94.87	  92.80	  91.50	  91.77	  91.75	  92.53	  94.16	  92.76	  92.30	  91.64	  91.82	  91.50	  95.48	  95.32	  95.28	  95.17	  94.43	  90.11	  94.33	  93.57	  95.30	  94.96	  91.65	  94.11	  92.61	  91.40	  93.59	  93.06	  94.64	  93.23	  92.25	  93.62	  94.63	  94.77	  92.38	  93.20	  96.43	  91.89	  94.27	  93.06	  91.83	  93.30	  93.75	  92.32	  89.85	  92.17	  96.37	  93.54	  95.46	  93.65	  95.23	  91.34	  92.11	  94.28	  95.33	  94.44	  94.46	  94.53	  95.90	  95.66	  94.64	  96.62	  94.38	  91.39	  96.35	  95.83	  94.87	  95.16	  94.57	  92.05	  91.34	  93.29	  94.23	  87.01	  92.64	  93.95	  93.83	  94.02	  93.57	  96.57	  94.61	  94.92	  94.59	  94.56	  93.82	  95.72	  95.75	  95.77	  95.89	  94.74	  95.19	  92.97	  94.75	  93.82	  95.81	  93.45	  95.34	  95.33	  96.10	  95.77	  95.09	  95.73	  94.08	  95.11	  91.23	  92.98	  94.35	  94.62	  93.33	  93.51	  93.49	  92.52	  92.76	  93.00	  93.60	  94.63	  94.24	  94.93	  92.93	  94.79	  94.19	  92.74	  94.16	  93.98	  94.22	  94.02	  94.19	  95.77	  93.60	  94.29	  94.15	  94.08	  94.77	  95.03	  94.55	  94.34	  93.91	  94.18	  95.91	  93.96	  92.65	  94.63	  94.46	  94.56	  94.93	  94.50	  94.43	  95.84	  94.92	  93.98	  95.98	  92.81	  96.34	  94.68	  94.30	  95.15	  94.32	  94.72	  92.89	  95.65	  94.48	  94.91	  94.57	  93.98	  93.71
C1     	  94.12	  92.26	  92.21	  94.28	  90.45	  94.08	 100.00	  94.25	  96.85	  95.40	  94.27	  93.35	  92.65	  93.80	  96.22	  94.59	  94.04	  96.69	  93.63	  96.79	  93.24	  94.22	  94.28	  93.53	  93.98	  96.18	  95.35	  94.60	  94.09	  93.91	  95.74	  91.18	  95.04	  90.36	  92.95	  89.13	  92.17	  93.47	  92.50	  93.24	  93.45	  96.42	  94.95	  93.40	  90.48	  90.24	  91.96	  93.54	  93.88	  92.37	  95.42	  92.99	  97.03	  93.62	  93.27	  92.12	  92.18	  92.31	  92.37	  93.79	  92.50	  92.33	  92.01	  92.35	  91.90	  94.12	  94.10	  94.19	  93.72	  93.23	  92.52	  93.42	  94.21	  93.92	  93.93	  92.90	  94.07	  93.12	  91.89	  93.70	  93.26	  97.59	  93.15	  92.09	  93.86	  94.54	  94.59	  94.15	  93.40	  94.47	  93.17	  94.84	  96.05	  92.93	  93.52	  95.73	  94.40	  90.32	  93.92	  94.20	  93.64	  94.01	  93.87	  94.29	  92.13	  93.13	  93.24	  94.20	  97.25	  97.36	  97.49	  94.00	  93.92	  94.20	  94.52	  97.51	  93.70	  94.35	  93.84	  93.23	  93.99	  94.49	  93.15	  90.32	  92.80	  97.05	  86.52	  95.26	  97.15	  96.68	  93.80	  93.10	  93.98	  93.67	  94.09	  93.71	  93.80	  92.17	  94.57	  94.44	  93.72	  94.59	  92.88	  93.30	  91.57	  93.14	  94.48	  93.78	  93.32	  93.75	  93.36	  94.19	  93.94	  96.71	  94.01	  94.00	  93.67	  91.41	  92.08	  94.37	  94.54	  93.49	  93.74	  93.58	  92.65	  92.74	  93.05	  93.68	  94.69	  97.20	  94.92	  93.94	  95.10	  94.33	  93.31	  94.18	  93.93	  93.98	  94.10	  94.30	  94.11	  94.22	  94.17	  94.33	  94.10	  93.60	  93.75	  93.63	  94.37	  97.04	  97.14	  94.26	  97.04	  92.16	  94.58	  94.52	  94.41	  93.70	  94.76	  94.86	  95.35	  94.11	  96.93	  94.52	  93.51	  94.25	  97.39	  97.34	  94.03	  93.37	  94.87	  92.62	  94.49	  94.96	  94.07	  93.74	  94.14	  93.77
C10    	  95.25	  93.56	  92.02	  96.38	  90.13	  95.86	  94.25	 100.00	  94.11	  93.38	  94.46	  94.65	  93.73	  94.35	  93.79	  92.23	  95.94	  94.01	  93.35	  94.08	  92.21	  94.87	  93.53	  94.12	  94.42	  93.38	  96.10	  92.90	  95.64	  94.38	  93.01	  91.15	  92.30	  90.21	  91.90	  88.49	  92.43	  95.08	  91.79	  93.11	  92.88	  93.67	  92.30	  92.73	  89.79	  89.75	  91.96	  93.99	  95.00	  92.50	  92.95	  94.01	  94.43	  94.76	  93.14	  91.62	  91.67	  91.83	  93.03	  95.33	  93.05	  92.97	  91.80	  91.91	  91.87	  96.44	  96.00	  96.05	  96.07	  93.97	  90.16	  94.22	  93.44	  95.38	  95.26	  92.25	  94.56	  92.47	  91.90	  93.47	  93.03	  94.76	  93.22	  92.84	  93.59	  94.16	  94.27	  92.29	  93.40	  96.36	  91.92	  94.36	  93.03	  91.98	  94.01	  93.64	  92.52	  90.50	  92.43	  96.29	  94.41	  95.38	  93.85	  95.77	  92.07	  92.10	  94.76	  96.03	  94.78	  94.58	  94.45	  96.38	  95.66	  94.46	  96.08	  94.52	  91.25	  96.25	  95.49	  94.70	  95.76	  94.87	  92.25	  91.65	  94.33	  94.22	  87.11	  92.78	  94.15	  93.84	  94.20	  93.72	  96.29	  94.38	  95.24	  94.48	  93.76	  93.50	  95.37	  95.12	  95.53	  95.17	  94.00	  94.65	  92.52	  94.13	  93.22	  95.32	  92.88	  95.32	  95.39	  96.06	  95.27	  94.66	  95.79	  94.26	  95.11	  91.21	  93.18	  95.02	  95.34	  93.49	  93.55	  93.71	  92.59	  92.68	  92.82	  93.65	  95.35	  94.38	  94.98	  92.98	  94.66	  94.47	  93.60	  94.15	  94.52	  94.11	  94.61	  94.90	  96.47	  94.70	  95.02	  94.80	  94.93	  94.95	  94.95	  94.91	  94.68	  93.84	  94.32	  96.51	  94.20	  92.33	  94.81	  94.47	  94.60	  94.95	  94.98	  94.93	  96.16	  95.00	  94.49	  96.28	  93.27	  95.94	  94.58	  94.54	  95.21	  95.08	  94.63	  93.15	  95.61	  94.42	  95.43	  94.44	  93.93	  93.52
C100   	  93.80	  92.09	  91.95	  94.25	  90.36	  93.98	  96.85	  94.11	 100.00	  95.18	  93.86	  93.06	  92.75	  93.59	  95.88	  94.16	  94.05	  96.33	  93.38	  96.74	  92.88	  94.25	  94.08	  92.98	  93.86	  95.90	  94.97	  94.31	  93.47	  93.68	  95.62	  90.81	  94.59	  90.15	  92.47	  88.90	  91.58	  93.10	  92.10	  93.28	  93.11	  96.52	  94.29	  93.17	  90.14	  90.13	  91.63	  93.31	  93.51	  92.12	  94.83	  92.68	  96.89	  93.45	  92.97	  91.74	  92.09	  92.08	  92.18	  93.44	  92.41	  91.86	  91.77	  92.18	  91.43	  93.69	  93.44	  93.67	  93.41	  93.00	  91.97	  93.17	  94.11	  93.54	  93.50	  92.62	  93.87	  92.47	  91.54	  93.50	  93.10	  97.06	  92.99	  91.90	  93.51	  94.36	  94.39	  93.93	  93.30	  94.34	  92.68	  94.39	  95.53	  92.51	  93.35	  95.41	  94.22	  90.17	  93.46	  93.94	  93.48	  93.76	  93.54	  93.76	  91.80	  92.67	  93.20	  94.01	  96.96	  97.04	  97.19	  93.70	  93.70	  93.79	  94.34	  96.92	  93.39	  94.08	  93.51	  92.87	  93.74	  94.27	  92.48	  90.08	  92.25	  96.74	  86.25	  95.10	  96.54	  96.32	  93.68	  92.81	  93.88	  93.50	  94.01	  93.38	  93.52	  92.09	  94.39	  94.38	  93.37	  94.41	  92.73	  93.05	  91.15	  93.08	  94.19	  93.70	  93.14	  93.57	  93.30	  94.07	  93.74	  96.66	  93.77	  93.71	  93.46	  91.33	  91.86	  94.03	  94.13	  93.10	  93.39	  93.09	  92.15	  92.51	  92.61	  93.41	  94.45	  96.99	  94.51	  93.72	  94.80	  93.88	  92.86	  93.75	  93.56	  93.63	  93.57	  93.76	  93.81	  93.60	  94.07	  93.86	  93.58	  93.44	  93.50	  93.25	  94.02	  96.36	  96.73	  94.04	  96.61	  91.99	  94.09	  94.32	  93.96	  93.40	  94.42	  94.60	  95.09	  93.95	  96.63	  94.32	  93.09	  93.69	  96.86	  96.88	  93.72	  92.99	  94.56	  92.28	  94.28	  94.51	  93.74	  93.43	  93.61	  93.40
C103   	  93.33	  92.32	  91.72	  93.62	  89.44	  93.40	  95.40	  93.38	  95.18	 100.00	  93.80	  93.27	  92.80	  94.30	  95.97	  94.34	  93.43	  95.06	  93.02	  95.11	  93.14	  94.15	  94.86	  91.97	  92.59	  95.76	  94.34	  93.22	  92.75	  94.52	  94.19	  90.81	  92.96	  89.73	  92.23	  88.82	  91.10	  93.47	  92.33	  93.35	  93.16	  94.87	  94.59	  93.30	  90.24	  89.85	  91.72	  92.32	  93.58	  91.86	  95.11	  93.21	  95.39	  93.06	  91.79	  91.39	  91.64	  91.75	  92.39	  93.36	  92.78	  92.40	  91.38	  91.82	  91.39	  93.28	  93.15	  93.14	  93.02	  92.98	  90.98	  93.28	  94.97	  92.77	  92.62	  92.05	  92.73	  91.79	  91.74	  93.61	  92.68	  95.72	  92.68	  92.41	  93.56	  93.10	  93.01	  93.79	  93.11	  93.62	  92.53	  93.04	  94.08	  92.51	  92.66	  94.17	  93.37	  90.09	  93.03	  93.47	  92.56	  92.98	  93.15	  93.53	  91.76	  92.90	  93.35	  93.52	  95.24	  95.50	  95.60	  93.41	  93.10	  92.74	  93.58	  95.44	  92.13	  93.53	  92.96	  92.46	  93.08	  93.28	  92.86	  90.51	  92.40	  95.31	  85.92	  93.78	  95.15	  94.89	  93.37	  93.04	  93.31	  92.76	  93.00	  92.47	  93.19	  92.06	  94.48	  94.39	  93.79	  94.34	  92.86	  93.26	  91.29	  93.17	  93.00	  94.02	  92.78	  93.76	  93.56	  94.28	  92.83	  95.10	  94.15	  93.41	  93.65	  90.85	  92.34	  92.83	  93.15	  92.60	  92.78	  92.63	  92.12	  92.49	  92.51	  93.00	  93.47	  95.26	  93.45	  92.73	  93.70	  93.60	  92.63	  93.59	  93.40	  93.61	  93.99	  93.89	  93.40	  93.77	  93.91	  93.85	  93.69	  92.62	  92.90	  92.59	  92.99	  94.89	  95.45	  93.44	  95.10	  91.02	  93.20	  93.04	  93.15	  92.92	  93.38	  93.44	  94.41	  94.29	  95.10	  93.58	  93.24	  93.41	  95.36	  95.52	  93.79	  93.77	  93.60	  93.17	  93.77	  93.61	  93.60	  93.59	  92.59	  92.75
